sample_id,generator_version,schema_version,sample_seed,architecture,difficulty,reference_path,search_path,reference_sha256,search_sha256,gt_center_x,gt_center_y,unwarped_gt_center_x,unwarped_gt_center_y,max_transform_residual_px,direct_marker_verification_err_px,requested_candidate_count,actual_visible_candidate_count,rotation_deg,scale_x,scale_y,pitch_x_nm,pitch_y_nm,beam_energy_keV,charging_strength,ler_sigma_nm,is_target_occluded,qa_passed
sample_001,10.0.0-AMAT-INDUSTRIAL,1.0.0,1042,DRAM,easy,reference/sample_001.png,search/sample_001.png,34e4eb0810160a0960a1cd908a6ead9caaa5947f02edc8dc0e2a3116116ecbe5,88a104a6a898a797cadc13532a717c6b05cac63f5ef611e642ed7936238742d0,260.3871,670.5735,260.3871,670.5735,0.0,0.051495,1,1,0.0,1.0,1.0,240,188,1.404,0.0,0.922,False,True
sample_002,10.0.0-AMAT-INDUSTRIAL,1.0.0,2042,FinFET,easy,reference/sample_002.png,search/sample_002.png,6654f923b7d245cbf2f00f445f3998a2b0550e0bc38009d6c04fd85f093dc29a,0fd70e8a6658b1fb743782150bcfc50a8730765d1eea6ce87a797210313b17cb,215.9716,302.1235,215.9716,302.1235,0.0,0.027716,1,1,0.0,1.0,1.0,236,202,1.471,0.0,0.576,False,True
sample_003,10.0.0-AMAT-INDUSTRIAL,1.0.0,3042,DRAM,easy,reference/sample_003.png,search/sample_003.png,4b321ac81cf8c03ba1e1a42d3e7e72de4e37d67bbbc0c3bd8f0e8ccab071168c,03ff8d226c803ebe88934eba9e1c8046d622d41154c0b48cf2aadde4fde1ddfb,702.8848,482.6088,702.8848,482.6088,0.0,0.047294,1,1,0.0,1.0,1.0,245,160,1.208,0.0,0.97,False,True
sample_004,10.0.0-AMAT-INDUSTRIAL,1.0.0,4042,FinFET,easy,reference/sample_004.png,search/sample_004.png,46d24a35ef83e0be1931311382a26f526b91f04a20d53ba0a7ec864bc72ade3c,764f5cc8c87d0f58ed45900a2e0be485bbe1a901467bb281bfd1b8f646c5cf75,580.1967,744.2531,580.1967,744.2531,0.0,0.060324,1,1,0.0,1.0,1.0,244,167,1.15,0.0,0.716,False,True
sample_005,10.0.0-AMAT-INDUSTRIAL,1.0.0,5042,DRAM,easy,reference/sample_005.png,search/sample_005.png,398f0d6d3140487eae523c3a14f8df8e5e45feea10dea5ed2d71dada19d9aff3,389d28b0526acf37048c94dbd8f329ee41ee9d0c997b4bef063400275f6891b9,227.4478,733.248,227.4478,733.248,0.0,0.051425,1,1,0.0,1.0,1.0,204,179,1.018,0.0,1.003,False,True
sample_006,10.0.0-AMAT-INDUSTRIAL,1.0.0,6042,FinFET,easy,reference/sample_006.png,search/sample_006.png,851cece6338edb30756ebd0d5b46f6835c83b251a20ead849e3e4d84cc48462f,724d6febe2db788a68d0603a5c5d45c895513fc233f3b618b9762caa3f13be87,440.03,510.3638,440.03,510.3638,0.0,0.04475,1,1,0.0,1.0,1.0,185,173,1.615,0.0,1.045,False,True
sample_007,10.0.0-AMAT-INDUSTRIAL,1.0.0,7042,DRAM,easy,reference/sample_007.png,search/sample_007.png,385ec2fe5d2eceeeda6654d5bacb33a5fc5a82c13e00ae304d9228865cd34872,771c3c2be2133c12c28cfb316175b980aa70597bfb31c40972364e1143595401,719.9395,502.9605,719.9395,502.9605,0.0,0.016421,1,1,0.0,1.0,1.0,215,187,1.561,0.0,0.913,False,True
sample_008,10.0.0-AMAT-INDUSTRIAL,1.0.0,8042,FinFET,easy,reference/sample_008.png,search/sample_008.png,c0012934c5cee94ea55ec6460be300e11b2a52639da30774c7841f9da58d943d,ea4c545532a9c01da100525ef5aedd5f21e79ba9281e4192a829cdb5618301eb,442.9295,580.4212,442.9295,580.4212,0.0,0.036649,1,1,0.0,1.0,1.0,197,224,1.497,0.0,1.08,False,True
sample_009,10.0.0-AMAT-INDUSTRIAL,1.0.0,9042,DRAM,medium,reference/sample_009.png,search/sample_009.png,3928aea7f92d2b579f304d3123fa10936badafd204f36f61f709e33d5bb6bf05,6fe26e6a2339a2cea1d3d52d7b3e3dc45a66ce367e9ec58c0c98ba81644809ff,763.1102,234.9201,763.0279,210.957,0.331852,0.021084,2,2,-0.9931,1.0199,1.0182,218,193,1.631,0.345,2.476,False,True
sample_010,10.0.0-AMAT-INDUSTRIAL,1.0.0,10042,FinFET,medium,reference/sample_010.png,search/sample_010.png,aabaded9db28a23fed605bef3741eb17341bb2cd0cf22ffd5bd57ed6860e596f,3246d87e83444cda319e888897122c2ca03408bbcea387a22c2ebb490c7e2575,749.8133,362.4881,745.0531,342.7866,0.303361,0.057938,2,2,0.3615,1.0154,1.0087,231,213,1.542,0.302,2.797,False,True
